Drug1,Drug2,Class1,Class2,Median_Drug1_dss,Median_Drug2_dss,Median_dss,median_CI,n,percentSample,Drug1_corr,Drug2_corr,One_driver,Better_combi
Vandetanib,Vemurafenib,Kinase inhibitor,Kinase inhibitor,0.156,0.025,0.592,0.308411215,267,90.63670412,0.33,0.081,FALSE,TRUE
Palbociclib,Ruxolitinib,Apoptotic modulator,Kinase inhibitor,0.104,0.1945,0.805,0.3658804549,422,78.19905213,-0.034,0.099,FALSE,TRUE
Cytarabine,Nutlin-3,Apoptotic modulator,Kinase inhibitor,0.261,0.064,0.778,0.3717294086,264,89.01515152,0.084,-0.12,FALSE,TRUE
Alisertib,Crizotinib,Apoptotic modulator,Kinase inhibitor,0.13,0.2785,0.71,0.4388586957,264,91.66666667,0.22,0.35,FALSE,TRUE
Palbociclib,Venetoclax,Kinase inhibitor,Kinase inhibitor,0.098,0.384,0.882,0.4519230769,233,81.97424893,-0.21,-0.38,FALSE,TRUE
Idelalisib,Ruxolitinib,Apoptotic modulator,Kinase inhibitor,0.2815,0.194,0.898,0.4588659949,300,87.66666667,0.035,0.15,FALSE,TRUE
Sorafenib,Venetoclax,Kinase inhibitor,Kinase inhibitor,0.294,0.39,0.884,0.5680345572,263,76.42585551,0.12,-0.25,FALSE,TRUE
Axitinib,Doramapimod,Kinase inhibitor,Kinase inhibitor,0.242,0.28,0.55,0.6098901099,31,87.09677419,0.42,0.48,FALSE,TRUE
Idelalisib,Palbociclib,Apoptotic modulator,Kinase inhibitor,0.274,0.102,0.494,0.6676470588,415,73.01204819,0.26,0.051,FALSE,TRUE
JQ1,Ruxolitinib,Kinase inhibitor,Kinase inhibitor,0.501,0.2,0.786,0.6769852941,266,84.96240602,0.24,0.15,FALSE,TRUE
Palbociclib,Sorafenib,Apoptotic modulator,Kinase inhibitor,0.094,0.29,0.443,0.6999255466,234,70.08547009,0.39,0.24,FALSE,TRUE
AT 101,Idelalisib,Kinase inhibitor,Kinase inhibitor,0.193,0.2785,0.427,0.7163888889,98,67.34693878,-0.014,0.36,FALSE,TRUE
Ruxolitinib,Venetoclax,Kinase inhibitor,Kinase inhibitor,0.194,0.398,0.714,0.7221052632,439,72.8929385,0.084,0.039,FALSE,TRUE
Birinapant,Quizartinib,Kinase inhibitor,Kinase inhibitor,0.389,0.389,0.698,0.7272093127,184,82.06521739,0.4,0.47,FALSE,TRUE
Doramapimod,Idelalisib,Kinase inhibitor,Kinase inhibitor,0.214,0.238,0.504,0.7358490566,31,80.64516129,0.4,0.23,FALSE,TRUE
Cabozantinib,Ruxolitinib,Kinase inhibitor,Metabolic modifier,0.388,0.201,0.538,0.7420265713,263,70.34220532,0.35,0.24,FALSE,TRUE
Palbociclib,Quizartinib,Kinase inhibitor,Kinase inhibitor,0.104,0.449,0.65,0.7518991724,424,76.88679245,0.12,0.35,FALSE,TRUE
Doramapimod,Motesanib,Kinase inhibitor,Kinase inhibitor,0.194,0.14,0.38,0.7627539741,31,61.29032258,0.47,0.58,TRUE,TRUE
Dasatinib,JQ1,Apoptotic modulator,Chemotherapeutics,0.233,0.436,0.65,0.7818627451,23,82.60869565,0.4,0.69,TRUE,TRUE
Dasatinib,Sirolimus,Differentiating/epigenetic modifier,Kinase inhibitor,0.276,0.408,0.574,0.7863436123,25,80,0.69,0.75,TRUE,TRUE
JQ1,Sorafenib,Differentiating/epigenetic modifier,Kinase inhibitor,0.501,0.29,0.724,0.7865307754,266,73.30827068,0.1,0.47,FALSE,TRUE
Idelalisib,Trametinib,Kinase inhibitor,mTOR inhibitor,0.281,0.606,0.892,0.7866666667,263,84.79087452,0.076,0.3,FALSE,TRUE
JQ1,Palbociclib,Differentiating/epigenetic modifier,Kinase inhibitor,0.504,0.096,0.75,0.7902991453,232,71.98275862,0.33,-0.15,FALSE,TRUE
Doramapimod,Palbociclib,Kinase inhibitor,Kinase inhibitor,0.402,0.104,0.638,0.7908496732,421,66.03325416,0.21,-0.11,FALSE,TRUE
Sirolimus,Trametinib,Apoptotic modulator,Kinase inhibitor,0.408,0.56,0.748,0.7947019868,25,84,0.44,0.83,TRUE,TRUE
Ruxolitinib,Sunitinib,Kinase inhibitor,Kinase inhibitor,0.168,0.269,0.392,0.8,25,68,0.33,0.21,FALSE,TRUE
Dasatinib,Venetoclax,Kinase inhibitor,Kinase inhibitor,0.432,0.39,0.854,0.8030973451,343,72.303207,0.19,-0.16,FALSE,TRUE
JQ1,Venetoclax,Kinase inhibitor,mTOR inhibitor,0.504,0.385,0.813,0.8039215686,240,70.41666667,0.38,-0.37,FALSE,TRUE
Idelalisib,Venetoclax,Kinase inhibitor,Kinase inhibitor,0.274,0.398,0.646,0.8088888889,441,65.30612245,0.033,0.32,FALSE,TRUE
Birabresib,Doramapimod,Apoptotic modulator,Kinase inhibitor,0.586,0.394,0.763,0.8100265677,182,78.02197802,0.38,0.44,FALSE,TRUE
AT 101,Quizartinib,Chemotherapeutics,Differentiating/epigenetic modifier,0.186,0.402,0.54,0.812749004,103,68.93203883,0.19,0.46,FALSE,TRUE
Birinapant,Doramapimod,Differentiating/epigenetic modifier,Kinase inhibitor,0.388,0.396,0.646,0.8153846154,185,74.59459459,0.29,0.51,TRUE,TRUE
AGI combo,Sorafenib,Kinase inhibitor,Other,0.021,0.219,0.356,0.8191489362,25,72,-0.067,0.57,TRUE,TRUE
Cytarabine,Venetoclax,Kinase inhibitor,Kinase inhibitor,0.302,0.379,0.527,0.8217720483,70,70,0.13,0.64,TRUE,TRUE
Palbociclib,Trametinib,Apoptotic modulator,Kinase inhibitor,0.104,0.598,0.81,0.8296460177,417,77.45803357,-0.085,0.45,FALSE,TRUE
Idelalisib,Quizartinib,Apoptotic modulator,Differentiating/epigenetic modifier,0.282,0.503,0.64,0.8337236534,269,68.02973978,-0.034,0.19,FALSE,TRUE
Doramapimod,GW-2580,Kinase inhibitor,Kinase inhibitor,0.218,0.1065,0.3615,0.8350730689,32,65.625,0.5,0.65,TRUE,TRUE
NVP-TAE684,Quizartinib,Differentiating/epigenetic modifier,Kinase inhibitor,0.213,0.4315,0.594,0.8352779246,34,64.70588235,0.39,0.56,TRUE,TRUE
Axitinib,Motesanib,Kinase inhibitor,Kinase inhibitor,0.229,0.13,0.362,0.8373732352,30,66.66666667,0.34,0.57,TRUE,TRUE
Birinapant,Dordaviprone,Apoptotic modulator,Kinase inhibitor,0.29,0.218,0.414,0.8456375839,81,60.49382716,0.37,0.028,FALSE,TRUE
Birinapant,Idelalisib,Apoptotic modulator,Kinase inhibitor,0.388,0.27,0.526,0.8458646617,185,61.62162162,0.47,0.31,FALSE,TRUE
Axitinib,Bosutinib,Kinase inhibitor,Kinase inhibitor,0.286,0.198,0.308,0.8490077653,24,58.33333333,0.64,0.59,TRUE,TRUE
AGI combo,Doramapimod,Kinase inhibitor,Other,0.021,0.33,0.282,0.8514851485,25,60,-0.011,0.65,TRUE,TRUE
Birabresib,Idelalisib,Apoptotic modulator,Kinase inhibitor,0.586,0.27,0.688,0.8522727273,185,71.89189189,0.46,0.43,FALSE,TRUE
Motesanib,Sunitinib,Kinase inhibitor,Kinase inhibitor,0.14,0.165,0.27,0.8539650538,33,54.54545455,0.25,0.44,FALSE,TRUE
AT 101,Bortezomib,Apoptotic modulator,Chemotherapeutics,0.186,0.556,0.674,0.8571428571,103,65.04854369,-0.26,0.23,FALSE,TRUE
Doramapimod,Venetoclax,Apoptotic modulator,Chemotherapeutics,0.398,0.394,0.678,0.8604347826,438,63.01369863,0.16,0.12,FALSE,TRUE
Dasatinib,Doramapimod,Apoptotic modulator,Kinase inhibitor,0.295,0.194,0.442,0.8618181818,31,74.19354839,0.74,0.37,TRUE,TRUE
GW-2580,Motesanib,Kinase inhibitor,Kinase inhibitor,0.106,0.164,0.222,0.87109375,29,44.82758621,0.71,0.72,TRUE,TRUE
Ibrutinib,Venetoclax,Apoptotic modulator,Kinase inhibitor,0.264,0.399,0.577,0.8783783784,514,67.70428016,0.17,0.78,TRUE,TRUE
Telaglenastat,Trametinib,Apoptotic modulator,Chemotherapeutics,0.077,0.537,0.599,0.8805100182,78,60.25641026,0.27,0.56,TRUE,TRUE
Bortezomib,Trametinib,Chemotherapeutics,Kinase inhibitor,0.382,0.56,0.706,0.8815403423,25,72,0.37,0.72,TRUE,TRUE
Birinapant,Trametinib,Differentiating/epigenetic modifier,Kinase inhibitor,0.39,0.576,0.742,0.8830275229,181,71.27071823,0.23,0.58,TRUE,TRUE
Birabresib,Quizartinib,Apoptotic modulator,Kinase inhibitor,0.586,0.389,0.738,0.8841445428,178,72.47191011,0.023,0.19,FALSE,TRUE
Birabresib,Trametinib,Apoptotic modulator,Kinase inhibitor,0.586,0.576,0.794,0.8859060403,179,70.94972067,0.43,0.64,TRUE,TRUE
Nintedanib,Trametinib,Kinase inhibitor,Kinase inhibitor,0.273,0.553,0.714,0.8883917573,24,70.83333333,0.28,0.57,TRUE,TRUE
Cytarabine,Vismodegib,Chemotherapeutics,Other,0.223,0,0.248,0.8918918919,25,64,0.57,0.041,TRUE,TRUE
Axitinib,GW-2580,Kinase inhibitor,Kinase inhibitor,0.24,0.1085,0.219,0.8920216695,32,56.25,0.46,0.35,FALSE,TRUE
Trametinib,Venetoclax,Kinase inhibitor,Kinase inhibitor,0.592,0.386,0.806,0.8929503916,307,66.7752443,-0.12,0.45,FALSE,TRUE
AZD5991,Trametinib,Apoptotic modulator,Kinase inhibitor,0.731,0.537,0.9,0.8975734868,80,72.5,0.27,0.36,FALSE,TRUE
Dasatinib,Idelalisib,Kinase inhibitor,Kinase inhibitor,0.3055,0.231,0.326,0.9043922911,32,62.5,0.74,0.57,TRUE,TRUE
GSK2879552,Quizartinib,Apoptotic modulator,Kinase inhibitor,0,0.38,0.458,0.9110838489,103,61.16504854,0.16,0.46,FALSE,TRUE
Artemisinin,Venetoclax,Apoptotic modulator,Other,0,0.362,0.421,0.9112940311,256,65.234375,0.23,0.89,TRUE,TRUE
Quizartinib,Telaglenastat,Apoptotic modulator,Kinase inhibitor,0.398,0.084,0.448,0.9141630901,79,59.49367089,0.35,0.38,FALSE,TRUE
Birinapant,GW-2580,Apoptotic modulator,Kinase inhibitor,0.378,0.254,0.516,0.9148749777,183,59.01639344,0.39,0.33,FALSE,TRUE
