Sample_ID,Alisertib,Arsenic Trioxide,Axitinib,Azacitidine,Dasatinib,Doramapimod,Foretinib,GW-2580,Idelalisib,KI20227,Linifanib,Midostaurin,Motesanib,NVP-TAE684,Pazopanib,Quizartinib,Ruxolitinib,Sorafenib,Sunitinib,Vemurafenib,NF-kB Activation Inhibitor,Cabozantinib,Crizotinib,Cytarabine,Entospletinib,Ibrutinib,JQ1,Nutlin-3,Palbociclib,Panobinostat,Trametinib,Vandetanib,Venetoclax,Artemisinin,AT 101,Birabresib,Birinapant,Bortezomib,GSK2879552,Olaparib,AGI combo,Bosutinib,Nintedanib,Sirolimus,Vatalanib,Vismodegib,PH-797804,AZD5991,Dordaviprone,Telaglenastat,Decitabine
C541,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
C20,0.142,0.074,0.954,0.0,0.362,0.286,0.686,0.142,0.406,0.836,0.056,0.0,0.22,0.0,0.284,0.406,0.169,0.0,0.321,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S80,0.14,0.0,0.242,0.106,0.334,0.116,0.764,0.233,0.178,0.418,,0.532,0.23,0.434,0.25,0.854,0.195,0.68,0.55,0.08,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S117,0.094,,0.278,,0.638,0.406,,,0.364,,,,,,,0.528,0.32,0.302,0.322,0.199,,0.286,0.299,0.438,0.264,,0.396,0.014,,,0.608,0.148,0.236,,,,,0.524,,,0.0,0.402,0.386,0.537,0.074,0.0,,,,,
S119,0.0,0.0,0.016,0.0,0.076,0.0,0.324,0.0,0.224,0.094,0.292,0.38,0.0,0.112,0.041,0.381,0.0,0.236,0.127,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S134,0.0,0.0,0.198,0.0,0.183,0.0,0.28,0.08,0.048,0.0,0.262,0.214,0.188,0.15,0.064,0.46,0.106,0.206,0.139,0.086,0.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S135,0.014,0.0,0.366,0.0,0.316,0.192,0.494,0.106,0.062,0.326,0.258,0.518,0.188,0.322,0.184,0.372,0.312,0.155,0.164,0.05,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,0.254,0.0,0.104,0.0,0.357,0.46,0.4,0.0,0.398,0.18,0.062,0.614,0.0,0.294,0.001,0.719,0.093,0.537,0.319,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S136,0.436,0.192,0.47,0.112,0.759,0.494,0.766,0.246,,0.816,0.124,0.284,0.13,0.554,0.237,0.694,0.344,0.71,0.46,0.336,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S137,0.132,0.0,0.156,0.016,0.167,0.194,0.342,0.058,0.118,0.262,0.094,0.0,0.0,0.324,0.008,0.443,0.054,0.199,0.08,0.045,0.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S138,0.116,0.0,0.0,0.0,0.247,0.146,0.438,0.208,0.39,0.416,0.232,0.05,0.0,0.346,0.0,0.31,0.034,0.184,0.163,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S139,0.0,0.0,0.238,0.17,0.034,0.322,0.18,0.268,0.074,0.07,0.194,0.376,0.0,0.0,0.0,0.198,0.152,0.032,0.033,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S143,0.0,0.0,0.064,0.0,0.352,0.0,0.228,0.0,0.222,0.006,0.26,0.202,0.0,0.0,0.033,0.467,0.247,0.012,0.0,0.021,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S146,0.078,,,,0.005,0.268,,,0.374,,,,,,,0.0,0.0,0.227,,0.0,,0.036,0.014,0.186,0.0,0.0,0.77,0.1,0.024,0.87,0.92,0.0,0.284,,,,,,,,,,,,,,,,,,
C512,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.196,,,,,,,,,,,,,,,,,,
S583,0.076,0.0,0.084,0.03,0.0,0.222,0.202,0.0,0.108,0.122,0.098,0.058,0.0,0.26,0.016,0.311,0.118,0.08,0.001,0.069,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S147,0.116,0.002,0.358,0.14,0.688,0.488,0.572,0.37,0.376,0.528,0.39,0.284,0.258,0.33,0.296,0.604,0.184,0.352,0.4,0.047,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C12,0.084,0.0,0.122,0.0,0.406,0.298,0.754,0.137,0.294,0.33,0.456,0.436,0.288,0.348,0.188,0.688,0.0,0.558,0.353,0.014,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C16,0.326,0.012,0.19,0.0,0.0,0.348,0.184,0.001,0.176,0.0,0.248,0.0,0.164,0.0,0.024,0.299,0.0,0.063,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C13,0.116,0.066,0.202,0.0,0.398,0.186,0.344,0.15,0.0,0.384,0.186,0.16,0.14,0.188,0.152,0.332,0.238,0.323,0.267,0.037,0.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S149,0.042,0.0,0.31,0.02,0.18,0.458,0.292,0.048,0.15,0.294,0.112,0.0,0.0,0.0,0.0,0.484,0.08,0.198,0.031,0.0,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S150,0.048,0.0,,0.0,0.0,0.114,0.796,0.002,0.33,0.302,0.646,0.366,0.352,0.268,0.262,0.403,0.0,0.388,0.374,0.086,0.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S151,0.098,0.0,0.398,0.0,0.096,0.126,0.754,0.035,0.144,0.262,0.652,0.646,0.164,0.334,0.204,0.707,0.05,0.525,0.362,0.123,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S153,0.228,0.096,0.332,0.0,0.201,0.214,0.528,0.186,0.162,0.41,0.648,0.424,0.32,0.0,0.083,0.341,0.201,0.142,0.165,0.0,0.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S154,0.152,,,,0.616,0.154,,,0.194,,,,,,,0.942,0.226,0.881,,0.027,,0.9,0.339,0.54,0.612,0.516,0.24,0.228,0.582,0.832,0.58,0.412,0.954,0.0,,,,,,,,,,,,,,,,,
S155,0.258,0.038,0.178,0.0,0.196,0.386,0.824,0.107,0.31,0.362,0.126,0.0,0.004,0.0,0.065,0.426,0.126,0.281,0.212,0.0,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C22,0.732,0.23,0.338,0.0,0.354,0.602,0.546,0.0,0.318,0.072,0.054,0.398,0.0,0.418,0.097,0.067,0.833,0.022,0.108,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
