ToDisplay,PlotType,Uniqueness,Clinical Summary Field,Definition,Values,DataType,Notes
False,,,sampleid,"Unique identifier for each specimen, for internal reference",,Identifier,For internal reference
True,Internal reference,,Sample_ID,"Unique identifier for each specimen, for internal reference",,Identifier,S' indicates specimens overlapped in BeatAML; 'C' indicates newly added specimens
False,Internal reference,,patientId,Unique identifier for each patient,,Identifier,
True,Internal reference,,labId,Unique identifier for each specimen,"Formatted as 00-00000, where first 2 digits are year and last 5 digits indicate order collected",Identifier,"Can be referred to in other datasets as Original_LabID,AML_Original_LabID, Lab_ID, Specimen ID, or Sample ID."
False,External reference,,dbgap_subject_id,Unique dbGaP identifier for each patient,,Identifier,Assigned to Beat AML wave1-4 patients only
False,External reference,,dbgap_dnaseq_sample,Unique dbGaP identifier for the dna sequencing of the specimen,,Identifier,Assigned to Beat AML wave1-4 patients only
False,External reference,,dbgap_rnaseq_sample,Unique dbGaP identifier for the rna sequencing of the specimen,,Identifier,Assigned to Beat AML wave1-4 patients only
True,Table,,Data available,Multiomics data available,,Category,
True,Pie,Patient,gender,Sex description for each patient obtained from the EMR,"Male', 'Female', 'Unknown'",Category,
True,Histogram,Patient,ageAtDiagnosis,Difference in years between diagnosis date (of the heme malignancy at the time of specimen collection) and patient's date of birth,,Numeric,"If one or both of these dates are missing, then the field is blank; ""0"" when the patient is between 0 and 1 years old"
False,Pie,Patient,priorMalignancyNonMyeloid,Did patient have a prior non-myeloid malignancy?,TRUE/FALSE,Logical,"If data is not collected, this field appears as 'n'"
False,Table,Patient,priorMalignancyType,Type of prior non-myeloid malignancy,,Text,All instances are listed separated by a vertical bar; can be duplicated due to multiple treatment regimens
False,Pie,Patient,cumulativeChemo,Has patient received chemotherapy during the course of their treatment for the current heme malignancy?,TRUE/FALSE,Logical,
False,Pie,Patient,priorMalignancyRadiationTx,Has patient received radiation treatment for a prior non-heme malignancy?,TRUE/FALSE,Logical,
False,Pie,Patient,priorMDS,Was patient ever diagnosed with MDS?,TRUE/FALSE,Logical,
False,Pie,Patient,priorMDSMoreThanTwoMths,Was the date difference between the earliest MDS diagnosis and AML diagnosis greater than 2 months?,TRUE/FALSE,Logical,u' if dates were not recorded
False,Pie,Patient,priorMDSMPN,Was the patient ever diagnosed with MDS/MPN?,TRUE/FALSE,Logical,
False,Pie,Patient,priorMDSMPNMoreThanTwoMths,Was the date difference between the earliest MDS/MPN diagnosis and AML diagnosis greater than 2 months?,TRUE/FALSE,Logical,u' if dates were not recorded
False,Pie,Patient,priorMPN,Was the patient ever diagnosed with MPN?,TRUE/FALSE,Logical,
False,Pie,Patient,priorMPNMoreThanTwoMths,Was the date difference between the earliest MPN diagnosis and AML diagnosis greater than 2 months?,TRUE/FALSE,Logical,u' if dates were not recorded
True,Table,Patient,dxAtSpecimenAcquisition,2022 World Health Organization diagnosis category at the time of the specimen acquisition,Ex: Acute Myeloid Leukaemia,Category,
True,Table,Patient,specificDxAtAcquisition,2022 World Health Organization diagnosis subtype at the time of the specimen acquisition,Ex: AML with t(8;21)(q22;q22); RUNX1::RUNX1T1 fusion,Category,unknown' if not known
False,Table,Patient,secondarySpecificDxAtAcquisition,2022 World Health Organization diagnosis subtype at the time of the specimen acquisition,Ex: Myeloid neoplasm post cytotoxic therapy,Category,Blank if no secondary specific diagnosis
False,Table,Patient,dxAtInclusion,Diagnosis at the time of earliest specimen inclusion by collection date,,Category,
False,Table,Patient,specificDxAtInclusion,Specific diagnosis at the time of earliest specimen inclusion by collection date,,Category,
False,Pie,Patient,fabBlastMorphology,French-American-British (FAB) morphological classification,"Ex: M0, M1, M2, M3",Category,"Pulled within the time window (from specimen collection date) specified under the MetaData tab, ""Cytogenetics & FAB"" grouping. Consider reviewing specimenGroups to further filter your results."
True,Pie,Patient,AML_subtype,"Annotated based on specificDxAtAcquisition, secondarySpecificDxAtAcquisition and fabBlastMorphology","Ex: M0, M1, M2, M3",Category,
